Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,206,16,T:System.Drawing.Brush,,,,,"g.DrawString(""█"", mFont, Brushes.White, 0, 0)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,206,16,P:System.Drawing.Brushes.White,,,,,"g.DrawString(""█"", mFont, Brushes.White, 0, 0)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,206,16,T:System.Drawing.Font,,,,,"g.DrawString(""█"", mFont, Brushes.White, 0, 0)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,206,16,"M:System.Drawing.Graphics.DrawString(System.String,System.Drawing.Font,System.Drawing.Brush,System.Single,System.Single)",,,,,"g.DrawString(""█"", mFont, Brushes.White, 0, 0)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,205,16,M:System.Drawing.Graphics.Clear(System.Drawing.Color),,,,,g.Clear(Color.Black)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,203,16,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = Drawing2D.SmoothingMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,203,16,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = Drawing2D.SmoothingMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,203,16,F:System.Drawing.Drawing2D.SmoothingMode.None,,,,,g.SmoothingMode = Drawing2D.SmoothingMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,203,16,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = Drawing2D.SmoothingMode.None
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,203,16,P:System.Drawing.Graphics.SmoothingMode,,,,,g.SmoothingMode = Drawing2D.SmoothingMode.None
